id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1385950,1,2016-01-08 22:31:12,2016-01-08 22:39:57,1,-73.99064636230467,40.751068115234375,-73.99578857421875,40.728145599365234,N,525
id1885523,2,2016-01-02 12:36:39,2016-01-02 12:49:58,1,-73.98265838623048,40.745071411132805,-74.00325775146483,40.73297119140625,N,799
id0892204,2,2016-02-21 00:24:16,2016-02-21 00:30:30,1,-73.99948120117188,40.72858047485352,-74.00025177001953,40.718799591064446,N,374
id2463973,2,2016-05-08 15:06:34,2016-05-08 15:18:10,1,-73.97705841064453,40.75984954833984,-73.94998931884764,40.7760009765625,N,696
id1496105,2,2016-05-06 13:54:36,2016-05-06 14:06:19,2,-73.97779846191406,40.75822067260742,-73.99308013916014,40.74312973022461,N,703
id2078915,2,2016-04-11 18:32:11,2016-04-11 18:34:23,2,-73.99681854248048,40.73629379272461,-73.99827575683594,40.740421295166016,N,132
id0108844,1,2016-01-04 19:12:50,2016-01-04 19:19:25,1,-73.97596740722656,40.7581901550293,-73.96138763427734,40.768890380859375,N,395
id3367964,2,2016-02-10 22:45:56,2016-02-10 22:49:57,1,-73.98002624511719,40.78401184082031,-73.98222351074217,40.77484893798828,N,241
id0289251,2,2016-02-27 22:21:34,2016-02-27 22:30:44,2,-74.00584411621092,40.73625564575195,-73.9949951171875,40.75002670288086,N,550
id0436853,2,2016-04-06 16:13:51,2016-04-06 16:24:06,3,-73.98646545410156,40.7719955444336,-73.97582244873048,40.78057861328125,N,615
id3025262,2,2016-05-03 21:33:51,2016-05-03 21:35:39,2,-73.96629333496092,40.78927612304688,-73.96080780029298,40.79690170288086,N,108
id0763310,2,2016-06-01 01:13:34,2016-06-01 01:21:46,6,-73.98927307128906,40.72172164916992,-74.00559234619139,40.7110481262207,N,492
id1928422,2,2016-04-28 14:14:57,2016-04-28 14:22:16,1,-73.9132080078125,40.75339126586913,-73.89215850830078,40.759868621826165,N,439
id2509137,1,2016-02-27 00:36:39,2016-02-27 00:46:33,1,-73.95391082763672,40.77115249633789,-73.98104095458984,40.770992279052734,N,594
id0858050,1,2016-03-11 18:42:54,2016-03-11 18:53:00,2,-73.98683929443358,40.73391342163086,-73.96888732910156,40.75485229492188,N,606
id2694066,2,2016-04-08 00:10:14,2016-04-08 00:21:09,2,-73.95733642578125,40.80173110961913,-73.94109344482422,40.82260894775391,N,655
id3911018,2,2016-05-03 09:14:42,2016-05-03 09:29:42,5,-73.98184967041014,40.75357818603516,-74.00611877441406,40.72358322143555,N,900
id1979119,1,2016-05-06 10:11:53,2016-05-06 10:29:23,2,-73.99421691894531,40.755859375,-74.00772857666014,40.74192810058594,N,1050
id1030621,1,2016-02-21 01:08:16,2016-02-21 01:12:08,1,-73.95475006103516,40.71868133544922,-73.96236419677734,40.709827423095696,N,232
id1601813,1,2016-05-03 08:52:35,2016-05-03 08:57:13,2,-73.98725891113281,40.760787963867195,-73.9840087890625,40.769657135009766,N,278
id1226953,1,2016-02-07 17:58:00,2016-02-07 18:06:16,1,-73.98126983642578,40.73341751098633,-73.99922180175781,40.72492599487305,N,496
id0207061,1,2016-06-16 19:44:57,2016-06-16 20:02:07,1,-73.98341369628906,40.77618408203125,-73.9372787475586,40.853981018066406,N,1030
id2754264,2,2016-04-09 18:13:16,2016-04-09 18:15:56,1,-73.96437072753906,40.76755142211913,-73.96453094482422,40.77145004272461,N,160
id0151776,2,2016-04-21 19:18:48,2016-04-21 19:36:05,1,-73.99381256103516,40.718021392822266,-73.9831771850586,40.74456024169922,N,1037
id2327953,1,2016-01-03 00:15:35,2016-01-03 00:24:36,2,-73.97806549072266,40.74577331542969,-73.9937744140625,40.75148391723633,N,541
id3186572,1,2016-06-15 09:51:56,2016-06-15 10:08:54,1,-73.96963500976561,40.75408935546875,-73.98300170898438,40.7348747253418,N,1018
id0189119,1,2016-02-05 14:14:30,2016-02-05 14:26:42,2,-73.99285125732422,40.74917221069336,-73.97767639160156,40.753662109375,N,732
id2563513,1,2016-03-21 07:04:06,2016-03-21 07:09:31,1,-73.96900177001953,40.75736618041992,-73.95697784423827,40.764644622802734,N,325
id2099273,1,2016-04-27 00:21:40,2016-04-27 00:24:13,1,-73.9827880859375,40.74210357666016,-73.98564147949219,40.73535919189453,N,153
id3111857,1,2016-04-18 21:46:58,2016-04-18 21:50:38,1,-73.97736358642578,40.75850677490234,-73.97064971923827,40.75429534912109,N,220
id1110793,1,2016-02-24 13:42:48,2016-02-24 13:59:42,1,-73.97329711914062,40.792213439941406,-73.93997192382812,40.81160354614258,N,1014
id1163039,1,2016-03-24 18:21:26,2016-03-24 18:32:24,1,-74.01062774658203,40.70881271362305,-74.00001525878906,40.67852020263672,N,658
id3490580,1,2016-01-02 18:31:21,2016-01-02 18:45:49,1,-73.98672485351561,40.73954391479492,-74.003173828125,40.73152542114258,N,868
id3525561,1,2016-02-21 04:21:16,2016-02-21 04:23:26,1,-73.99565124511719,40.749454498291016,-73.9974136352539,40.75638198852539,N,130
id0417970,1,2016-01-26 14:48:55,2016-01-26 14:59:46,1,-73.96674346923827,40.78900146484375,-73.95970153808595,40.77998733520508,N,651
id0312127,1,2016-03-14 13:16:12,2016-03-14 13:40:29,1,-73.95289611816406,40.765174865722656,-73.9851837158203,40.74176788330078,N,1457
id2670074,2,2016-06-25 22:23:20,2016-06-25 22:28:33,3,-74.0048599243164,40.73751068115234,-73.99472808837889,40.740249633789055,N,313
id2508925,2,2016-04-27 13:27:18,2016-04-27 13:37:06,1,-73.98350524902342,40.7340202331543,-73.9895248413086,40.7208366394043,N,588
id2890955,2,2016-01-31 00:30:29,2016-01-31 00:36:02,1,-73.98773956298828,40.74943923950195,-73.98076629638672,40.74195098876953,N,333
id2409455,1,2016-01-14 23:47:16,2016-01-14 23:54:29,2,-74.00096893310547,40.73150253295898,-73.99619293212889,40.724063873291016,N,433
id0049249,1,2016-05-26 04:00:52,2016-05-26 04:12:37,1,-74.0101089477539,40.71225738525391,-73.99751281738281,40.7464714050293,N,705
id3484985,2,2016-03-14 22:56:33,2016-03-14 23:07:44,1,-73.98155975341797,40.76832580566406,-73.98475646972656,40.7481803894043,N,671
id1652556,2,2016-04-17 23:40:12,2016-04-17 23:45:01,2,-74.00602722167967,40.725601196289055,-73.98975372314453,40.72629165649414,N,289
id2290027,1,2016-06-16 07:18:24,2016-06-16 07:32:21,2,-73.97189331054686,40.74655151367188,-73.974609375,40.73625564575195,N,837
id3277376,1,2016-01-13 15:20:00,2016-01-13 15:36:15,1,-73.97224426269531,40.7628288269043,-73.99476623535155,40.728023529052734,N,975
id1525310,1,2016-05-02 11:57:32,2016-05-02 12:10:14,1,-74.01046752929686,40.70897674560546,-73.99888610839844,40.73443603515625,N,762
id1485847,2,2016-04-29 15:10:00,2016-04-29 15:21:47,5,-73.99333190917967,40.74982833862305,-73.98898315429686,40.77162170410156,N,707
id3791572,2,2016-04-29 15:22:51,2016-04-29 15:26:09,1,-73.97125244140625,40.7597770690918,-73.97694396972656,40.75593185424805,N,198
id1051834,1,2016-05-16 21:26:59,2016-05-16 21:33:32,1,-73.96879577636719,40.754497528076165,-73.98242950439453,40.73111724853516,N,393
id3048639,2,2016-06-04 14:46:13,2016-06-04 14:51:27,5,-74.00305938720702,40.75298690795898,-73.99504089355469,40.75006103515625,N,314
id1348254,2,2016-01-31 00:54:13,2016-01-31 01:03:10,3,-73.98736572265625,40.73337173461913,-73.98048400878906,40.72191619873047,N,537
id2817588,2,2016-04-16 11:37:19,2016-04-16 11:44:10,1,-73.9561004638672,40.777935028076165,-73.94387054443358,40.77794647216797,N,411
id3145600,1,2016-04-28 20:43:48,2016-04-28 20:59:02,1,-73.96751403808595,40.75359344482422,-73.97750091552734,40.7862434387207,N,914
id2441941,2,2016-03-07 16:54:53,2016-03-07 17:11:26,2,-73.95457458496092,40.78373336791992,-73.95086669921875,40.826068878173835,N,993
